,lat,lng,zip_code,uuid
27,41.6812,-72.9401,6010,b9cbb707-da79-41e9-846e-fcde126a15a0
28,41.687,-72.7308,6111,e91db937-dfaf-40f2-8aa2-e585ed520f39
29,40.9126,-74.171,7501,af4df780-71da-4637-a832-eb94aab5ac21
30,40.9126,-74.171,7501,88dee163-8156-48fe-aedf-a719d770457b
31,40.9126,-74.171,7501,bc1de24f-3686-44df-8f23-cea512c3a1c9
32,40.7351,-74.0685,7306,bdbb9106-23ae-4724-86b9-fc749ff3734e
33,40.9126,-74.171,7501,268ab8dc-b910-4eab-bffe-316edb391a2a
34,41.879,-70.6307,2360,57de88f1-7303-4ad4-9f1f-b16456fdade7
35,40.7933,-74.0263,7047,2f1ce36d-b89d-4856-8b47-1e55a32326cd
36,40.9164,-74.1716,7505,628f06ce-8687-4bb5-8064-441ba50b5cb7
37,41.8204,-71.4128,2903,1bd6a9f1-4a0f-4c67-82dd-8f0fb1ac0980
38,41.2803,-72.8732,6512,ca898d1d-e9a0-432c-b0f6-9a13dbc065f8
39,40.6988,-74.3248,7081,22012b5a-7c28-4ebf-90b2-7a079c6a8f3d
40,41.7741,-72.7035,6105,c4e84e7f-0eb0-4b29-877f-9d04802cb633
41,39.8055,-74.9997,8021,97417963-6427-40a9-9611-f541d68af6b5
42,39.8055,-74.9997,8021,8fd258be-ec2e-4864-b253-132c7c8951af
43,40.0002,-74.9938,8077,cadb7834-a288-45eb-acf6-6c062d2d3ae0
44,40.7676,-74.1695,7104,a3e2a816-5739-4362-b37f-5e5dee9a1740
45,41.764,-72.7262,6119,03523e4b-8553-4241-b279-b0424bac4fde
46,40.4497,-74.482,8902,7a4f805b-d0e5-4729-8ff9-fa131368ad1d
47,40.7716,-74.2073,7017,ec85d2c1-2fce-42cb-928e-c5a2d035aa8c
48,40.7676,-74.1695,7104,e4ff7d80-51d5-4755-9860-6d89772d9650
49,40.5175,-74.3955,8817,0c629f09-b4d5-4864-898d-c7b8533d4b52
50,40.2492,-74.0521,7712,a08412cc-df01-4fab-8bc4-f7cd273f58d7
51,41.3514,-72.1063,6320,7cb01579-6da0-42f3-9d7b-48c21bb78da2
52,42.338,-71.0718,2118,ed9ed038-50f1-4741-87df-cf2d845318ca
53,40.9126,-74.171,7501,ff9fdb97-5812-424a-9499-6fcafdc06b5b
54,41.8841,-72.2663,6279,54162f75-7422-4114-8bed-63af655a2721
55,41.5523,-72.0921,6360,400e0d03-95f6-49d2-9834-2f0d84442eda
56,41.764,-72.7262,6119,73ee5e77-ffab-467c-970d-bb0ddf51aca2
57,41.8841,-72.2663,6279,4d963c1c-ef83-4f9a-8fc2-d88ab60bf09b
58,41.8008,-72.5159,6042,a42339e5-0e8e-43f4-9354-0bac20cd07e7
59,41.5474,-72.6585,6457,182854f6-c3c0-4400-84f6-208c55f77197
60,41.9592,-72.801,6035,a4010846-0259-4e21-b30e-6cfeb65c7d48
61,41.6812,-72.9401,6010,ca89ecfd-f163-4497-9712-7d6bc8c08c32
62,42.338,-71.0718,2118,91da3e6a-869e-49cd-85fe-0d203c93d8bd
63,40.2492,-74.0521,7712,962c8088-928c-4325-8ea7-07b249542b3b
64,41.3514,-72.1063,6320,43820437-7531-4361-b029-ec40876832d0
65,41.3595,-72.0439,6340,3968fa60-8630-4022-bed5-bd04ae13d747
66,41.4596,-72.818,6492,75c4768a-676c-4a73-9062-892f4c8a6bd0
67,41.3595,-72.0439,6340,7b934ab1-dc16-44ca-aaeb-782782dd05a4
68,40.7351,-74.0685,7306,51f937aa-a443-4048-a5b7-6da0efc86017
69,39.7587,-74.9349,8009,e0d9dc7b-4150-47a6-9ea3-a7d21b2ad0c2
70,41.1272,-73.4433,6850,b35e52a1-1fa4-4aec-927c-8fb1c8f43494
71,42.5021,-71.2027,1803,601d9cb8-aa79-40da-9f38-e87cfaf2d91f
72,40.6933,-73.9925,11249,561c8843-d15a-4728-8268-69cec2522329
73,40.2197,-74.7669,8608,2aef3845-615b-467d-8c2c-5a175f7b5c5b
74,42.5847,-71.987,1440,7e81ff1a-4c8e-4913-92cc-f70bc79f70a7
75,40.9253,-74.1785,7522,0319e5f3-9f64-4d44-89cb-00cd9a087f84
76,41.5474,-72.6585,6457,1a88b24b-0955-4e90-9d81-052d83032c72
77,39.7838,-74.3306,8005,1d04e9d1-1f47-4196-ad25-47bc5323250c
78,42.274,-71.094,2126,ed468740-c806-4991-a577-ae86aa0a1734
79,43.4906,-70.5283,4005,92a72127-6315-43e1-8aa7-4aca87d14151
80,40.696,-74.0853,7305,2896d66d-5282-45fd-bacf-c0a0669cbbf8
81,40.696,-74.0853,7305,70ff9efb-abe0-4e89-855b-961f8dffff9b
82,40.7208,-74.0459,7302,5df420da-891e-4dd5-9255-4d4f4def67a2
83,42.471,-70.9405,1902,25de1a66-c424-4e2e-8db4-6b581467cf3f
84,41.5474,-72.6585,6457,8a054078-304c-4a3a-91a9-854d038a0df0
85,42.3631,-71.1033,2139,ed544b66-07f7-4896-8e6d-f841c0dff14d
86,40.2832,-74.7089,8648,4ac9bf17-26f8-4761-a55d-13a7663c7de9
87,42.3496,-71.0753,2116,f5a28a8a-478f-4131-8b7c-9e1d1a80a522
88,43.248,-71.5112,3301,a33d1cdf-dbe9-4513-8edd-5de6bc781efd
89,39.8546,-75.1873,8086,c245e397-204d-4d01-90d8-03a9de9585c6
90,40.7479,-73.9793,10178,ae61e81a-10df-4599-a2d1-9cad808342f4
91,40.8211,-74.4194,7981,d0d6e47b-1fee-4b2b-a343-b59a6a477c6d
92,40.904,-74.2218,7512,7f0510d7-cea2-44c4-ad54-8f075736c11a
93,42.2868,-71.3531,1760,07806644-d2fe-4136-8dcb-76ff0dd96788
94,40.8192,-74.1574,7110,1f5a7aac-3c85-4dfc-b318-b2a614e73d03
95,42.3802,-71.1347,2138,78cb1c93-cf23-4358-9670-6338190b26a0
96,40.7582,-73.9684,10158,69e11c97-8c04-418c-8185-aa3465424d3b
97,40.7659,-73.9814,10107,0906f0a1-10be-44d6-80aa-1b448ae5b87f
98,40.6709,-74.179,7201,ec92bb0e-6bf1-4d7b-a940-ad518627d84d
99,41.6148,-72.7202,6023,8efd40ab-3be3-480b-882b-615c099c47ec
100,39.3406,-74.4859,8406,08f15998-e835-4070-a8d3-57c6d0b903ff
101,39.3323,-74.9928,8332,7bd7114e-af39-48b1-a22b-90d425c84a5b
102,42.6711,-71.0866,1845,2806080f-ba22-4859-9b20-4e7d39ec7615
103,42.9238,-71.449,3103,55b6b5a6-2f60-48c1-843f-184aa4804d97
104,40.5013,-74.5325,8873,46b276b4-db24-414f-8107-285b78545ed8
105,42.3561,-72.5677,1035,ce7d749b-1d28-4a22-8cc0-085072d6039c
106,40.7895,-74.2629,7052,79c70a96-3495-40e0-b2d6-bc0df0087357
107,40.6769,-111.9569,84184,1d4ee113-396a-4b53-9dbd-cb5ca00791af
108,40.7545,-73.9757,10166,3651f314-5b80-4a57-a7d8-d5ab63e55b79
109,41.3768,-73.4601,6810,96bd8b4d-1227-4b7b-a701-91a1f94ab799
110,42.3621,-71.068,2114,a48878db-1433-4b41-bfbc-90239839251a
111,40.5745,-74.4149,7080,555c2dbc-a77e-4b95-8100-5065120e24a2
112,42.9238,-71.449,3103,046b62f0-b565-4393-b80d-58ec0ea01051
113,42.3466,-71.0403,2210,b3fc226a-db7b-46e2-ae20-44efecd80956
114,40.7479,-73.9793,10178,dca0da13-4085-4bd0-85f7-0526cef2a6e4
115,39.8445,-74.9532,8043,8c61626a-9b4d-4536-9ed6-f1f220a1a5f8
116,41.0531,-73.5379,6901,18ccd020-98f8-429a-801c-c124be9d5976
117,40.2229,-74.3007,7728,76ffcf14-f758-473a-87bc-ce320f36cd34
118,39.9782,-74.9415,8057,409ce773-aab0-4953-9006-48b8674a0e6a
119,39.9782,-74.9415,8057,b9ca92c6-84cc-41fe-8b08-19b031c44b75
120,39.9782,-74.9415,8057,0d15c06d-6f19-4a1c-b150-4e9c4aac3a51
121,40.3897,-74.5487,8852,b222358d-f1ff-4138-b12d-160dc6aad1a5
122,41.3183,-72.9264,6511,bc3bf088-c26f-425a-9ed6-5681c1209c52
123,39.9782,-74.9415,8057,88574414-e2fb-4591-b23d-fa5549c75543
124,42.1025,-72.5916,1103,a43fd4d2-e8bc-4d33-9dac-20c33cf99384
125,41.3068,-72.9252,6510,e3ac59e2-ade5-4196-be3c-39bbad994558
126,40.3436,-74.8091,8534,afa1f1fc-3356-451c-94ef-13c2d1e0fd67
127,41.9706,-71.3359,2760,81cd5ca2-fc2b-445a-9fcf-7e6c30ae753c
128,42.4305,-71.0574,2148,f26514d9-91ce-4327-9f82-269547785a84
129,41.6741,-72.8573,6062,b6ea7056-2d54-4d9e-b0c9-0da7f6f84782
130,40.7857,-74.4992,7960,6587a137-6da8-45b6-afe5-cb5905431f6a
131,40.6933,-73.9925,11249,1732c053-9a9e-458e-a957-6184db5ef183
